ARR_DELAY,DAY_OF_WEEK,DEP_DELAY,DISTANCE
-2,5,3,31
-20,6,0,67
-17,2,-18,67
-17,1,-2,67
-14,2,-9,67
-13,4,-4,67
-12,5,-4,67
-12,6,-1,67
-11,6,-4,67
-10,1,-3,67
-9,3,-10,67
-8,4,-2,67
-7,5,0,67
-6,3,4,67
2,7,-12,67
3,1,-1,67
9,2,14,67
13,7,-1,67
14,4,-1,67
17,1,15,67
27,5,42,67
34,1,46,67
35,2,22,67
43,1,55,67
62,1,56,67
90,5,46,67
205,1,206,67
283,3,290,67
-16,7,-10,68
-11,2,-7,68
2,6,-6,68
5,6,2,68
36,1,39,68
-19,2,0,69
-17,1,-22,69
-6,4,-10,69
-6,7,-1,69
6,4,-3,69
6,7,0,69
-18,2,-8,73
-17,5,-3,73
-16,3,-4,73
-15,5,-5,73
-12,3,-5,73
-12,7,-5,73
-11,2,-8,73
-8,5,-3,73
-6,5,-1,73
0,4,5,73
0,1,9,73
12,4,12,73
18,5,28,73
19,5,8,73
30,4,34,73
84,5,72,73
-16,1,-7,74
-16,4,-5,74
-9,4,-3,74
-4,3,-12,74
-2,4,-4,74
-1,7,-7,74
3,2,-4,74
5,2,-14,74
9,5,-2,74
17,2,30,74
240,5,234,74
-22,5,-5,76
-20,7,-4,76
-4,1,4,76
-3,5,-3,76
7,3,5,76
8,1,23,76
14,1,26,76
-26,2,-16,77
-19,4,-4,77
-12,5,-11,77
-9,6,-6,77
-9,7,-6,77
-8,7,0,77
-7,6,-5,77
-2,7,1,77
39,6,29,77
42,7,50,77
82,2,90,77
132,4,100,77
-10,5,-7,82
-5,3,-14,82
-27,1,-15,83
-14,2,-9,83
-13,4,-10,83
-11,4,-5,83
-11,2,-3,83
-11,7,-2,83
-10,7,-1,83
-8,1,-2,83
-7,2,-10,83
-7,5,-3,83
-6,1,-5,83
-3,5,-2,83
1,3,-7,83
7,3,9,83
10,5,0,83
50,7,38,83
66,2,33,83
-11,7,-7,84
-11,6,-6,84
-9,6,-2,84
-5,7,-6,84
-1,2,-8,84
2,5,1,84
37,4,4,84
57,4,26,84
102,6,89,84
-46,4,-20,86
-20,2,-10,86
-16,3,-10,86
-16,6,-7,86
-15,3,-9,86
-15,7,-5,86
-14,1,-9,86
-14,3,-9,86
